Age,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,Attrition
48,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Laboratory Technician,3,Single,5381,9,Yes,3,23,2,3,0,Yes
28,Travel_Rarely,Research & Development,5,Technical Degree,3,Male,Laboratory Technician,3,Single,3441,1,Yes,3,2,3,2,2,Yes
44,Travel_Rarely,Sales,1,Marketing,2,Female,Sales Executive,1,Divorced,5454,5,Yes,4,9,2,2,3,No
35,Non-Travel,Research & Development,11,Medical,3,Male,Healthcare Representative,1,Married,9884,2,Yes,3,10,3,3,0,No
26,Travel_Rarely,Sales,23,Marketing,3,Female,Sales Executive,4,Married,4157,7,Yes,3,5,2,2,2,No
33,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Research Director,4,Single,13458,1,Yes,3,15,1,3,14,No
35,Travel_Frequently,Sales,18,Life Sciences,2,Male,Sales Executive,1,Married,9069,1,No,4,9,3,2,8,No
35,Travel_Rarely,Research & Development,23,Medical,3,Female,Laboratory Technician,1,Married,4014,3,Yes,3,4,3,3,2,No
31,Travel_Rarely,Research & Development,7,Life Sciences,4,Male,Laboratory Technician,4,Divorced,5915,3,No,4,10,3,2,7,No
37,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Manufacturing Director,3,Divorced,5993,1,No,3,7,2,4,5,No
32,Travel_Rarely,Research & Development,1,Medical,1,Male,Manufacturing Director,4,Married,6162,1,Yes,4,9,3,3,8,No
38,Travel_Frequently,Research & Development,29,Life Sciences,4,Female,Laboratory Technician,4,Single,2406,1,No,3,10,2,3,3,No
50,Travel_Rarely,Research & Development,7,Medical,2,Female,Research Director,3,Divorced,18740,5,Yes,3,29,2,2,3,No
59,Travel_Rarely,Sales,25,Life Sciences,1,Female,Sales Executive,1,Single,7637,7,No,3,28,3,2,16,No
36,Travel_Rarely,Research & Development,8,Technical Degree,3,Female,Healthcare Representative,3,Divorced,10096,1,No,3,17,2,3,14,No
55,Travel_Rarely,Research & Development,8,Medical,4,Female,Manager,3,Divorced,14756,2,Yes,3,21,2,3,0,No
36,Travel_Frequently,Research & Development,11,Life Sciences,2,Male,Manufacturing Director,2,Single,6499,1,No,3,6,3,3,5,No
45,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,Research Scientist,1,Divorced,9724,2,No,3,25,2,3,0,No
35,Travel_Frequently,Research & Development,1,Medical,2,Male,Research Scientist,1,Married,2194,4,No,3,5,2,2,2,No
36,Travel_Rarely,Research & Development,9,Medical,4,Male,Research Scientist,3,Married,3388,0,Yes,3,2,0,2,0,Yes
59,Travel_Frequently,Sales,1,Life Sciences,1,Female,Sales Executive,3,Single,5473,7,No,3,20,2,2,3,No
29,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,2,Married,2703,0,No,4,6,3,3,4,No
31,Travel_Rarely,Research & Development,1,Medical,3,Male,Research Scientist,2,Single,2501,1,No,3,1,4,3,1,No
32,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,Research Scientist,2,Married,6220,1,No,3,10,3,3,4,No
36,Travel_Rarely,Research & Development,6,Life Sciences,2,Female,Laboratory Technician,4,Married,3038,3,No,3,5,3,3,0,No
31,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Manufacturing Director,4,Single,4424,1,No,4,11,2,3,7,No
35,Travel_Rarely,Sales,1,Marketing,3,Male,Sales Executive,1,Single,4312,0,No,3,16,2,3,13,No
45,Travel_Rarely,Research & Development,6,Other,4,Male,Research Director,1,Married,13245,4,Yes,3,17,3,4,0,No
37,Travel_Rarely,Research & Development,7,Medical,1,Male,Research Director,3,Single,13664,4,No,3,16,3,4,2,No
46,Travel_Rarely,Human Resources,5,Medical,2,Male,Human Resources,2,Divorced,5021,8,Yes,4,16,2,3,2,No
30,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,4,Married,5126,1,Yes,3,10,1,2,8,No
35,Travel_Rarely,Research & Development,1,Medical,2,Male,Research Scientist,3,Single,2859,1,No,3,6,3,3,4,No
55,Travel_Rarely,Sales,1,Life Sciences,1,Male,Sales Executive,4,Married,10239,3,No,3,24,4,3,0,No
38,Non-Travel,Research & Development,6,Medical,2,Female,Research Scientist,4,Divorced,5329,7,Yes,3,17,3,3,11,No
34,Travel_Rarely,Research & Development,1,Medical,1,Male,Manufacturing Director,2,Married,4325,1,No,3,5,2,3,2,No
56,Travel_Rarely,Research & Development,7,Life Sciences,4,Male,Manufacturing Director,4,Single,7260,4,No,3,37,3,2,4,No
23,Travel_Rarely,Sales,2,Technical Degree,3,Male,Sales Representative,1,Divorced,2322,3,No,3,3,3,3,0,No
51,Travel_Rarely,Research & Development,9,Life Sciences,4,Male,Laboratory Technician,4,Married,2075,3,No,4,10,4,3,2,No
30,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Healthcare Representative,4,Married,4152,1,No,3,11,3,3,10,No
46,Travel_Rarely,Sales,9,Medical,3,Male,Sales Executive,4,Single,9619,1,No,3,9,3,3,8,Yes
40,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,Healthcare Representative,2,Married,13503,1,No,4,22,3,2,3,No
51,Travel_Rarely,Sales,21,Marketing,3,Male,Sales Executive,4,Single,5441,0,Yes,4,11,2,1,7,No
30,Travel_Rarely,Sales,4,Medical,3,Female,Sales Executive,2,Divorced,5209,1,Yes,3,11,4,2,8,No
46,Travel_Frequently,Research & Development,1,Medical,3,Male,Healthcare Representative,1,Married,10673,2,Yes,3,21,5,2,9,No
32,Travel_Rarely,Sales,6,Medical,2,Male,Sales Executive,3,Single,5010,1,No,3,12,0,3,8,No
54,Travel_Rarely,Research & Development,2,Technical Degree,1,Female,Research Director,3,Married,13549,9,No,3,16,5,1,3,No
24,Travel_Rarely,Sales,3,Other,1,Female,Sales Executive,3,Married,4999,0,No,4,4,2,2,2,No
28,Non-Travel,Sales,4,Medical,2,Male,Sales Executive,3,Married,4221,1,No,3,5,3,4,4,No
58,Travel_Rarely,Sales,10,Medical,4,Male,Sales Executive,3,Single,13872,0,No,3,38,1,2,10,No
44,Non-Travel,Research & Development,23,Medical,2,Male,Laboratory Technician,2,Married,2042,4,No,3,17,3,4,2,No
37,Travel_Rarely,Human Resources,6,Human Resources,3,Male,Human Resources,1,Divorced,2073,4,Yes,4,7,3,3,2,Yes
32,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Research Scientist,1,Single,2956,1,No,3,1,2,3,0,No
20,Travel_Frequently,Research & Development,6,Life Sciences,4,Female,Laboratory Technician,4,Single,2926,1,Yes,3,1,5,3,0,Yes
34,Travel_Rarely,Research & Development,6,Other,1,Female,Research Scientist,3,Single,4809,1,No,3,16,3,3,13,No
37,Non-Travel,Research & Development,2,Life Sciences,3,Male,Healthcare Representative,4,Divorced,5163,5,No,3,17,2,4,0,No
59,Non-Travel,Human Resources,2,Human Resources,3,Female,Manager,4,Married,18844,9,No,4,30,3,3,2,No
50,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Research Director,2,Married,18172,3,Yes,3,28,1,2,3,No
25,Travel_Rarely,Sales,5,Marketing,3,Male,Sales Executive,3,Single,5744,1,Yes,3,6,1,3,4,Yes
25,Travel_Rarely,Research & Development,7,Medical,4,Male,Research Scientist,4,Married,2889,1,No,3,2,2,3,2,No
22,Travel_Rarely,Research & Development,15,Medical,2,Female,Laboratory Technician,4,Single,2871,1,No,3,1,5,3,0,No
51,Travel_Frequently,Research & Development,1,Medical,1,Female,Healthcare Representative,1,Single,7484,3,No,4,23,1,2,12,No
34,Travel_Frequently,Research & Development,7,Life Sciences,1,Male,Laboratory Technician,3,Single,6074,1,Yes,4,9,3,3,7,Yes
54,Non-Travel,Human Resources,26,Human Resources,4,Female,Manager,4,Single,17328,2,Yes,3,23,3,3,3,No
24,Travel_Rarely,Research & Development,18,Life Sciences,2,Male,Laboratory Technician,3,Married,2774,0,No,3,6,2,3,3,No
34,Travel_Rarely,Research & Development,6,Life Sciences,3,Female,Research Scientist,2,Divorced,4505,6,No,3,12,3,3,0,No
37,Travel_Rarely,Sales,3,Life Sciences,3,Male,Sales Executive,4,Single,7428,2,No,3,12,3,3,3,No
34,Travel_Rarely,Research & Development,5,Medical,3,Female,Manager,1,Single,11631,2,No,3,14,6,3,10,No
36,Travel_Frequently,Sales,11,Technical Degree,2,Female,Sales Executive,4,Married,9738,0,No,3,10,6,3,7,No
36,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,Laboratory Technician,4,Divorced,2835,5,No,4,7,2,3,0,No
43,Travel_Frequently,Sales,26,Life Sciences,3,Male,Manager,4,Married,16959,1,Yes,3,25,3,4,12,No
30,Travel_Frequently,Research & Development,23,Life Sciences,1,Male,Research Scientist,3,Divorced,2613,1,No,4,10,2,2,7,No
33,Non-Travel,Sales,22,Marketing,3,Male,Sales Executive,2,Married,6146,0,No,3,8,2,4,7,No
56,Travel_Rarely,Research & Development,14,Life Sciences,2,Female,Research Scientist,2,Married,4963,9,Yes,3,7,2,3,4,Yes
51,Travel_Rarely,Research & Development,6,Life Sciences,1,Male,Research Director,3,Single,19537,7,No,3,23,5,3,18,No
31,Travel_Rarely,Sales,6,Life Sciences,2,Male,Sales Executive,3,Married,6172,4,Yes,3,12,3,2,7,Yes
26,Travel_Rarely,Research & Development,6,Other,3,Female,Research Scientist,2,Married,2368,1,No,3,5,3,2,4,No
58,Travel_Rarely,Research & Development,23,Medical,4,Female,Healthcare Representative,4,Married,10312,1,No,3,40,3,2,10,Yes
19,Travel_Rarely,Sales,22,Marketing,4,Male,Sales Representative,3,Single,1675,1,Yes,3,0,2,2,0,Yes
22,Travel_Rarely,Research & Development,2,Technical Degree,3,Male,Laboratory Technician,4,Married,2523,0,No,3,3,2,3,1,No
49,Travel_Rarely,Research & Development,20,Medical,3,Female,Manufacturing Director,1,Married,6567,1,No,3,16,2,2,11,No
43,Travel_Frequently,Research & Development,28,Medical,2,Female,Research Scientist,3,Single,4739,4,No,3,18,2,3,2,No
50,Travel_Frequently,Sales,12,Marketing,3,Female,Sales Executive,4,Single,9208,4,No,3,16,3,3,2,No
31,Travel_Rarely,Sales,20,Life Sciences,2,Female,Sales Executive,3,Married,4559,3,Yes,3,4,2,3,2,Yes
41,Travel_Rarely,Sales,9,Life Sciences,3,Male,Sales Executive,3,Divorced,8189,3,Yes,3,12,2,3,7,No
26,Travel_Rarely,Human Resources,25,Life Sciences,3,Female,Human Resources,3,Married,2942,1,No,4,8,3,3,7,No
36,Travel_Rarely,Research & Development,6,Medical,2,Male,Manufacturing Director,2,Divorced,4941,6,No,4,7,0,3,2,No
51,Travel_Frequently,Research & Development,8,Life Sciences,1,Male,Manufacturing Director,4,Single,10650,2,No,3,18,2,3,2,Yes
39,Travel_Rarely,Sales,4,Life Sciences,4,Female,Sales Executive,3,Married,5902,4,No,3,17,1,4,11,No
25,Travel_Rarely,Sales,28,Life Sciences,1,Male,Sales Executive,3,Married,8639,2,No,3,6,3,3,2,No
30,Travel_Rarely,Human Resources,9,Human Resources,3,Male,Human Resources,4,Married,6347,0,Yes,3,12,2,1,9,No
32,Travel_Rarely,Research & Development,9,Medical,1,Female,Laboratory Technician,1,Single,4200,7,No,4,10,2,4,4,Yes
45,Travel_Rarely,Research & Development,29,Medical,3,Male,Research Scientist,4,Single,3452,5,No,3,9,2,2,5,No
38,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,Research Scientist,3,Single,4317,3,Yes,4,19,2,3,2,No
30,Travel_Rarely,Research & Development,18,Life Sciences,1,Female,Research Scientist,3,Single,2632,1,No,3,5,4,2,4,No
32,Travel_Frequently,Sales,9,Medical,4,Male,Sales Executive,4,Divorced,4668,0,No,3,9,2,4,7,No
30,Travel_Rarely,Research & Development,5,Technical Degree,4,Female,Research Scientist,1,Divorced,3204,5,No,3,8,3,3,2,No
30,Travel_Rarely,Research & Development,2,Medical,2,Male,Laboratory Technician,4,Single,2720,0,No,3,6,3,3,3,No
41,Travel_Frequently,Research & Development,10,Life Sciences,4,Male,Manager,1,Divorced,17181,4,No,3,21,2,2,6,No
41,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Laboratory Technician,1,Married,2238,2,No,4,7,2,3,0,No
19,Travel_Rarely,Research & Development,3,Medical,2,Female,Laboratory Technician,2,Single,1483,1,No,3,1,3,3,0,No
40,Travel_Frequently,Research & Development,26,Medical,2,Female,Research Scientist,2,Divorced,5605,1,No,3,20,2,3,7,No
35,Travel_Rarely,Sales,1,Marketing,3,Male,Sales Executive,2,Married,7295,1,No,3,10,3,3,8,No
53,Travel_Rarely,Sales,6,Marketing,2,Male,Sales Representative,3,Married,2306,2,Yes,4,13,3,1,7,No
45,Travel_Rarely,Research & Development,9,Life Sciences,2,Male,Laboratory Technician,2,Divorced,2348,8,No,3,20,2,1,9,No
32,Travel_Frequently,Sales,8,Marketing,2,Female,Sales Executive,4,Single,8998,1,No,3,9,2,3,8,No
29,Non-Travel,Research & Development,1,Technical Degree,4,Male,Manufacturing Director,3,Married,4319,1,No,3,10,1,3,7,No
51,Travel_Rarely,Research & Development,7,Medical,2,Male,Manufacturing Director,3,Married,6132,2,No,3,10,2,3,0,No
58,Travel_Rarely,Research & Development,9,Medical,2,Female,Research Scientist,2,Married,3346,4,Yes,4,9,3,2,0,No
40,Travel_Rarely,Sales,4,Marketing,3,Male,Sales Executive,4,Married,10855,7,No,3,15,2,2,11,No
34,Travel_Frequently,Sales,2,Marketing,3,Female,Sales Representative,3,Married,2231,6,No,3,6,3,3,3,No
22,Travel_Rarely,Research & Development,19,Medical,3,Male,Research Scientist,4,Married,2323,1,No,4,2,6,3,2,No
27,Non-Travel,Research & Development,9,Medical,4,Male,Research Scientist,2,Divorced,2024,6,No,3,6,1,1,2,No
28,Travel_Rarely,Research & Development,21,Medical,3,Male,Research Scientist,4,Married,2713,1,No,3,5,2,1,2,No
57,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,Healthcare Representative,4,Divorced,9439,3,Yes,3,12,2,1,3,No
27,Non-Travel,Research & Development,3,Medical,3,Male,Research Scientist,3,Divorced,2566,1,Yes,3,1,2,2,1,No
50,Travel_Rarely,Research & Development,11,Life Sciences,3,Female,Manager,2,Single,19926,3,No,3,21,5,3,4,No
41,Travel_Rarely,Research & Development,14,Life Sciences,1,Male,Research Scientist,3,Divorced,2451,4,No,3,13,2,3,8,No
30,Travel_Rarely,Sales,5,Life Sciences,2,Female,Sales Executive,4,Married,9419,2,No,3,12,2,3,9,No
38,Travel_Rarely,Sales,1,Life Sciences,1,Female,Sales Executive,4,Single,8686,4,No,4,12,2,4,3,No
32,Travel_Rarely,Research & Development,6,Life Sciences,3,Male,Research Scientist,3,Single,3038,3,No,4,8,2,3,4,No
27,Travel_Rarely,Research & Development,17,Technical Degree,3,Male,Research Scientist,2,Married,3058,0,Yes,3,6,3,2,2,No
19,Travel_Frequently,Sales,1,Technical Degree,3,Female,Sales Representative,1,Single,2325,0,No,4,1,5,4,0,Yes
36,Travel_Frequently,Research & Development,3,Medical,4,Male,Laboratory Technician,2,Single,2088,4,No,3,13,3,2,7,No
30,Non-Travel,Research & Development,9,Medical,3,Male,Laboratory Technician,1,Divorced,3072,1,No,3,12,4,3,9,No
45,Travel_Rarely,Sales,4,Life Sciences,3,Female,Sales Executive,1,Divorced,5006,4,Yes,3,9,3,4,4,No
56,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Research Scientist,1,Divorced,4257,4,Yes,3,19,3,3,2,No
33,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,4,Single,2500,0,No,3,4,2,4,1,No
19,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,Laboratory Technician,4,Single,1102,1,No,4,1,3,2,0,Yes
46,Travel_Rarely,Sales,1,Marketing,2,Female,Sales Executive,1,Divorced,10453,1,No,4,24,2,3,13,No
38,Travel_Rarely,Research & Development,9,Life Sciences,3,Female,Laboratory Technician,4,Single,2288,1,No,3,2,3,3,2,No
31,Travel_Rarely,Research & Development,12,Medical,3,Female,Research Scientist,4,Married,3929,8,Yes,4,7,0,3,2,No
34,Travel_Rarely,Research & Development,27,Medical,4,Female,Research Scientist,2,Single,2311,2,No,3,9,3,3,2,No
41,Travel_Rarely,Sales,20,Marketing,2,Female,Sales Representative,2,Single,3140,1,Yes,4,4,5,2,3,Yes
50,Travel_Rarely,Research & Development,1,Medical,3,Male,Laboratory Technician,3,Married,3690,2,No,3,5,2,2,2,No
53,Travel_Rarely,Research & Development,13,Medical,4,Female,Manufacturing Director,1,Divorced,4450,1,No,3,5,3,3,2,No
33,Travel_Rarely,Research & Development,14,Medical,4,Female,Research Scientist,2,Married,2756,1,No,3,8,5,3,7,No
40,Travel_Rarely,Research & Development,4,Medical,4,Female,Manager,3,Married,19033,1,No,3,21,2,3,8,No
55,Travel_Rarely,Research & Development,14,Medical,3,Male,Research Director,2,Single,18722,8,No,3,36,3,3,15,No
34,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,3,Married,9547,1,No,3,10,2,2,9,No
51,Travel_Rarely,Research & Development,3,Medical,4,Female,Healthcare Representative,2,Single,13734,3,No,3,21,6,3,7,No
52,Travel_Rarely,Research & Development,1,Life Sciences,3,Male,Manager,3,Married,19999,0,No,3,34,5,3,18,No
27,Travel_Rarely,Research & Development,9,Medical,4,Female,Research Scientist,2,Single,2279,1,No,3,7,2,2,7,No
35,Travel_Rarely,Research & Development,23,Life Sciences,2,Male,Manufacturing Director,3,Married,5916,3,Yes,3,8,1,3,0,Yes
43,Non-Travel,Research & Development,7,Medical,4,Male,Research Scientist,4,Divorced,2089,4,No,3,7,3,4,4,No
45,Non-Travel,Research & Development,2,Medical,1,Male,Manager,4,Married,16792,9,No,4,22,1,3,8,No
37,Travel_Rarely,Research & Development,21,Life Sciences,2,Male,Research Scientist,1,Married,3564,1,Yes,3,8,3,2,7,No
35,Travel_Frequently,Research & Development,2,Medical,2,Female,Laboratory Technician,2,Single,4425,5,No,3,10,5,3,2,No
42,Non-Travel,Research & Development,21,Medical,3,Female,Manufacturing Director,3,Divorced,5265,2,No,3,11,5,3,3,No
38,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,3,Married,6553,9,No,3,14,3,3,0,No
38,Travel_Rarely,Research & Development,29,Technical Degree,4,Male,Manufacturing Director,4,Married,6261,3,No,3,9,3,1,7,No
27,Travel_Frequently,Research & Development,1,Technical Degree,3,Male,Manufacturing Director,1,Married,4298,5,No,3,6,1,3,2,No
49,Non-Travel,Research & Development,18,Life Sciences,4,Male,Manufacturing Director,4,Divorced,6804,1,Yes,3,7,0,3,7,No
34,Travel_Frequently,Research & Development,10,Medical,4,Male,Research Scientist,3,Divorced,3815,1,Yes,3,5,4,4,3,No
40,Travel_Rarely,Research & Development,19,Medical,3,Male,Laboratory Technician,4,Married,2741,8,Yes,3,15,2,4,2,No
38,Travel_Rarely,Research & Development,29,Medical,2,Male,Healthcare Representative,1,Married,6673,7,Yes,3,17,2,3,0,Yes
29,Travel_Rarely,Sales,27,Marketing,2,Female,Sales Executive,4,Married,7639,1,No,4,10,3,2,4,Yes
22,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,Research Scientist,2,Divorced,2328,1,Yes,3,4,2,2,2,No
36,Travel_Frequently,Research & Development,18,Medical,2,Female,Laboratory Technician,4,Single,2153,1,No,3,8,2,3,1,No
40,Non-Travel,Research & Development,9,Life Sciences,4,Male,Healthcare Representative,4,Married,4876,9,No,3,5,5,1,2,No
46,Travel_Rarely,Research & Development,1,Medical,4,Male,Healthcare Representative,1,Divorced,9396,7,No,3,17,3,3,2,No
32,Travel_Rarely,Sales,4,Medical,4,Male,Sales Executive,4,Married,10400,1,No,3,14,2,2,8,Yes
30,Non-Travel,Research & Development,1,Life Sciences,3,Male,Manufacturing Director,3,Single,8474,1,No,4,12,2,3,8,No
27,Travel_Frequently,Sales,20,Life Sciences,4,Female,Sales Executive,3,Single,9981,1,No,3,7,2,3,7,No
51,Travel_Rarely,Research & Development,8,Life Sciences,2,Male,Research Director,2,Married,12490,5,No,3,16,5,1,9,No
30,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,Research Scientist,1,Single,2657,5,Yes,3,8,5,3,2,Yes
41,Travel_Rarely,Sales,6,Life Sciences,4,Female,Manager,4,Single,13591,3,Yes,3,16,3,3,0,No
30,Travel_Frequently,Sales,26,Marketing,3,Female,Sales Executive,1,Single,6696,5,No,3,9,5,2,3,Yes
29,Travel_Rarely,Research & Development,1,Technical Degree,3,Male,Research Scientist,3,Single,2058,0,No,3,7,1,2,2,Yes
45,Non-Travel,Sales,6,Medical,4,Female,Sales Executive,4,Single,8865,6,No,3,23,2,3,7,No
54,Travel_Rarely,Sales,3,Marketing,4,Female,Sales Executive,1,Married,5940,2,No,3,16,4,3,2,No
36,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,Laboratory Technician,2,Single,5914,8,No,3,16,3,4,11,No
33,Travel_Rarely,Research & Development,4,Medical,3,Female,Research Scientist,2,Married,2622,6,No,4,7,3,3,2,No
